,text_number,screen_number,sentence_number,w_in_sent_id,w_in_screen_id,deps,n_rights,n_lefts,dep_distance,word_length,surprisal_gpt,contains_punctuation,lex_freq_unk,lex_freq,PoS-Tag
0,1,1,1,1,1,mo,0,0,-5,5,9.441618919372559,FALSE,FALSE,37.57266307,pwav
1,1,1,1,2,2,ROOT,3,0,0,4,4.811712265014648,FALSE,FALSE,8998.096899,vafin
2,1,1,1,3,3,oa,0,0,-3,4,2.318830966949463,FALSE,FALSE,6566.550453,prf
3,1,1,1,4,4,nk,0,0,-1,3,2.0234456062316895,FALSE,FALSE,80100.30691,art
4,1,1,1,5,5,sb,0,1,3,5,4.721315383911133,FALSE,FALSE,14.00391032,nn
5,1,1,1,6,6,oc,0,2,4,11,1.2136202156543732,TRUE,FALSE,133.0248854,vvfin
6,1,1,2,1,7,ju,0,0,-4,3,5.591361999511719,FALSE,FALSE,23398.58848,kon
7,1,1,2,2,8,op,1,0,-9,3,5.061848163604736,FALSE,FALSE,6727.329731,appr
8,1,1,2,3,9,nk,0,0,-1,7,5.412741661071777,FALSE,FALSE,54.27434945,pwat
9,1,1,2,4,10,nk,0,1,2,6,3.886821746826172,FALSE,FALSE,131.4716204,nn
10,1,1,2,5,11,ROOT,3,1,0,5,3.584069013595581,FALSE,FALSE,8161.246762,vafin
11,1,1,2,6,12,nk,0,0,-1,3,1.4247320890426636,FALSE,FALSE,80100.30691,art
12,1,1,2,7,13,sb,1,1,2,8,4.754474639892578,FALSE,FALSE,713.9950494,nn
13,1,1,2,8,14,mnr,1,0,1,2,2.288630485534668,FALSE,FALSE,14298.16411,appr
14,1,1,2,9,15,nk,0,0,1,12,6.659532547,FALSE,FALSE,8.706459131,ne
15,1,1,2,10,16,pm,0,0,-1,2,1.3368511199951172,FALSE,FALSE,9058.935837,ptkzu
16,1,1,2,11,17,oc,0,2,6,8,2.699198157,TRUE,FALSE,80.24657542,vvinf
17,1,1,3,1,18,nk,0,0,-1,3,2.596041679382324,FALSE,FALSE,80100.30691,art
18,1,1,3,2,19,sb,0,1,-1,11,8.681444168,FALSE,FALSE,33.57504944,nn
19,1,1,3,3,20,ROOT,3,1,0,7,8.965394973754883,FALSE,FALSE,80.03402337,vvfin
20,1,1,3,4,21,mo,1,0,1,3,0.47659122943878174,FALSE,FALSE,8265.372744,appr
21,1,1,3,5,22,nk,0,0,-2,5,2.6723923683166504,FALSE,FALSE,17543.4334,art
22,1,1,3,6,23,nk,0,0,-1,5,5.331552505493164,FALSE,FALSE,1067.542691,adja
23,1,1,3,7,24,nk,0,2,3,7,8.321453094482422,FALSE,FALSE,1.569615167,nn
24,1,1,3,8,25,mo,2,0,5,3,1.1854445934295654,FALSE,FALSE,1166.698224,appr
25,1,1,3,9,26,mo,0,0,-1,3,1.0187402963638306,FALSE,FALSE,247.1653384,adv
26,1,1,3,10,27,ac,0,1,2,2,0.40744471549987793,FALSE,FALSE,9058.935837,appr
27,1,1,3,11,28,nk,2,0,3,14,12.214375495910645,TRUE,FALSE,8.886310869,nn
28,1,1,3,12,29,cp,0,0,-10,4,0.7985419631004333,FALSE,FALSE,153.5525088,kous
29,1,1,3,13,30,oa,0,0,-8,4,0.5869006514549255,FALSE,FALSE,6566.550453,prf
30,1,1,3,14,31,mo,1,0,-8,5,2.4411487579345703,FALSE,FALSE,242.8734219,appr
31,1,1,3,15,32,nk,0,0,-1,3,8.999439239501953,FALSE,FALSE,80100.30691,art
32,1,1,3,16,33,nk,0,1,2,17,9.736877441,FALSE,FALSE,0.212552054,nn
33,1,1,3,17,34,nk,0,0,-1,5,8.312774658203125,FALSE,FALSE,656.8267219,adja
34,1,1,3,18,35,sb,0,1,-4,11,6.365052700042725,FALSE,FALSE,2.36259783,nn
35,1,1,3,19,36,op,1,0,-2,2,0.002893787,FALSE,FALSE,14298.16411,appr
